Generation,Mean_Fit,Master_Fit,Max_Fit,Flips,Flip_Rate,Threshold,Time
209,-313.0,-194.4,-140.5,70,4.20,19.8,3.87
210,-307.7,-366.3,-163.7,97,5.82,19.9,2.87
211,-300.5,-306.2,-166.3,89,5.34,20.0,3.19
212,-296.4,-289.4,-170.0,67,4.02,19.8,2.89
213,-303.2,-204.7,-130.6,100,6.00,20.0,3.04
214,-306.4,-193.2,-162.9,59,3.54,19.7,3.12
215,-308.5,-197.1,-160.7,94,5.64,19.8,3.21
216,-308.8,-301.2,-151.7,77,4.62,19.8,3.20
217,-300.3,-214.7,-170.1,77,4.62,19.7,3.23
218,-296.6,-179.3,-159.4,81,4.86,19.7,3.23
219,-306.0,-252.4,-164.2,97,5.82,19.8,3.28
220,-308.6,-172.0,-159.5,88,5.28,19.9,3.61
221,-300.1,-326.6,-152.7,83,4.98,19.9,3.17
222,-303.7,-354.4,-154.3,82,4.92,19.9,3.56
223,-305.3,-372.7,-153.3,76,4.56,19.8,3.09
224,-315.7,-210.6,-159.5,74,4.44,19.7,3.71
225,-311.4,-369.5,-164.4,102,6.12,19.9,3.10
226,-311.7,-360.3,-161.2,98,5.88,20.0,3.00
227,-314.8,-375.5,-133.5,73,4.38,19.9,3.28
228,-316.4,-343.7,-153.0,82,4.92,19.9,3.42
229,-322.5,-216.3,-159.5,103,6.18,20.1,3.09
230,-315.6,-323.9,-164.2,77,4.62,20.1,3.13
231,-312.5,-319.8,-149.5,73,4.38,19.9,3.04
232,-303.7,-389.2,-130.5,84,5.04,19.9,3.02
233,-308.2,-293.1,-161.1,82,4.92,19.9,2.99
234,-322.9,-351.3,-145.1,94,5.64,20.1,3.06
235,-310.8,-231.2,-164.2,87,5.22,20.1,3.35
236,-320.3,-211.5,-150.2,95,5.70,20.2,3.32
237,-315.0,-408.9,-163.7,76,4.56,20.1,3.25
238,-315.7,-422.7,-164.4,60,3.60,19.9,3.29
239,-314.7,-384.5,-161.4,75,4.50,19.8,3.13
240,-320.1,-338.5,-154.0,80,4.80,19.7,3.34
241,-316.7,-403.1,-172.0,91,5.46,19.8,3.07
242,-316.5,-318.7,-155.6,80,4.80,19.8,3.33
243,-317.5,-401.3,-164.0,84,5.04,19.8,3.11
244,-322.1,-214.4,-168.7,77,4.62,19.7,3.39
245,-321.1,-192.4,-147.7,90,5.40,19.8,3.57
246,-314.4,-230.0,-162.6,78,4.68,19.7,3.03
247,-318.9,-292.3,-139.4,90,5.40,19.8,3.26
248,-316.9,-251.2,-156.8,90,5.40,19.9,3.28
249,-311.9,-239.8,-155.3,73,4.38,19.8,2.90
250,-327.9,-380.4,-160.5,71,4.26,19.6,3.19
251,-322.4,-336.3,-157.6,90,5.40,19.7,3.12
252,-335.8,-238.6,-118.6,91,5.46,19.8,5.34
253,-327.2,-232.1,-167.9,81,4.86,19.7,3.18
254,-332.7,-312.0,-160.3,93,5.58,19.9,3.57
255,-320.5,-280.2,-172.9,82,4.92,19.8,3.36
256,-328.6,-178.0,-160.5,109,6.53,20.1,3.65
257,-328.1,-393.4,-114.5,73,4.38,20.0,3.41
258,-326.2,-347.5,-131.3,88,5.28,20.1,3.37
259,-328.7,-192.8,-166.1,86,5.16,20.1,3.10
260,-327.0,-209.2,-160.4,97,5.82,20.3,3.36
261,-322.2,-348.4,-166.3,85,5.10,20.3,3.43
262,-328.3,-176.4,-162.6,77,4.62,20.2,3.19
263,-328.2,-364.4,-128.8,79,4.74,20.2,3.01
264,-322.9,-401.5,-157.4,77,4.62,20.1,3.43
265,-328.6,-388.7,-159.0,106,6.35,20.4,3.45
266,-327.2,-471.5,-115.8,72,4.32,20.2,3.66
267,-323.0,-387.2,-162.3,68,4.08,20.0,3.27
268,-330.5,-210.6,-152.4,94,5.64,20.2,3.00
269,-320.2,-311.5,-154.6,85,5.10,20.2,3.22
270,-337.6,-196.3,-160.6,74,4.44,20.1,3.20
271,-325.9,-168.4,-152.0,93,5.58,20.2,3.09
272,-336.0,-279.9,-158.0,81,4.86,20.1,3.29
273,-327.4,-262.5,-158.6,77,4.62,20.1,3.15
274,-325.5,-334.7,-125.7,91,5.46,20.2,3.34
275,-335.7,-178.1,-150.1,87,5.22,20.2,4.08
276,-337.3,-288.5,-135.9,81,4.86,20.2,3.69
277,-326.6,-306.4,-165.3,75,4.50,20.1,3.44
278,-327.3,-294.1,-156.7,88,5.28,20.1,3.23
279,-329.1,-382.7,-155.0,67,4.02,19.9,2.93
280,-330.3,-311.2,-161.7,103,6.18,20.2,3.41
281,-328.5,-328.5,-161.9,86,5.16,20.2,3.51
282,-323.6,-466.7,-161.0,73,4.38,20.1,3.37
283,-338.9,-192.2,-166.1,79,4.74,20.0,4.39
284,-321.5,-291.4,-159.4,87,5.22,20.1,3.18
285,-321.5,-240.8,-129.7,74,4.44,19.9,3.68
286,-333.8,-221.4,-107.0,72,4.32,19.8,3.37
287,-333.1,-411.5,-138.5,90,5.40,19.9,3.28
288,-328.9,-413.3,-160.2,88,5.28,19.9,3.52
289,-336.5,-245.9,-159.8,86,5.16,20.0,3.08
290,-320.3,-304.5,-106.1,66,3.96,19.8,3.29
291,-315.3,-360.8,-155.4,86,5.16,19.8,3.69
292,-318.4,-420.6,-168.9,100,6.00,20.0,3.77
293,-324.6,-325.5,-150.2,75,4.50,19.9,3.58
294,-318.3,-397.2,-106.4,72,4.32,19.8,4.03
295,-311.0,-187.5,-159.4,86,5.16,19.8,3.34
296,-305.4,-277.2,-162.8,83,4.98,19.8,4.61
297,-311.2,-240.7,-162.4,102,6.12,20.0,4.78
298,-300.8,-207.6,-165.9,78,4.68,19.9,3.30
299,-302.3,-463.1,-166.8,88,5.28,20.0,4.22
300,-299.9,-229.0,-159.2,81,4.86,20.0,3.24
301,-298.2,-283.7,-152.0,79,4.74,19.9,3.89
302,-294.3,-205.8,-154.9,89,5.34,20.0,3.60
303,-279.6,-200.3,-157.3,87,5.22,20.0,3.93
304,-297.3,-405.7,-154.4,83,4.98,20.0,3.34
305,-285.5,-223.2,-154.3,85,5.10,20.0,10.07
306,-273.6,-269.0,-132.7,82,4.92,20.0,4.34
307,-273.0,-226.2,-164.4,92,5.52,20.1,3.26
308,-274.6,-371.9,-166.5,69,4.14,20.0,3.45
309,-272.1,-283.8,-153.1,88,5.28,20.0,9.32
310,-274.7,-237.9,-160.1,78,4.68,19.9,4.31
311,-272.4,-209.1,-144.9,78,4.68,19.9,5.54
312,-266.3,-219.7,-135.1,68,4.08,19.7,3.27
313,-274.2,-261.7,-147.1,77,4.62,19.6,6.83
314,-264.0,-244.8,-65.0,80,4.80,19.6,3.17
315,-284.5,-258.4,-102.9,92,5.52,19.7,6.99
316,-272.7,-204.0,-121.0,86,5.16,19.7,4.06
317,-276.6,-238.4,-174.8,84,5.04,19.7,3.26
318,-283.8,-252.4,-175.1,97,5.82,19.9,4.57
319,-273.6,-201.5,-122.8,81,4.86,19.8,5.84
320,-268.2,-222.2,-158.2,83,4.98,19.8,3.81
