Starting PRIME Symbolic Regression...
Gen  790 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.8 | Eq: INVALID
Gen  800 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.0 | Eq: INVALID
Gen  810 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.1 | Eq: INVALID
Gen  820 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.6 | Eq: INVALID
Gen  830 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.5 | Eq: INVALID
Gen  840 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  19.0 | Eq: INVALID
Gen  850 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.0 | Eq: INVALID
Gen  860 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  4 | Thresh:  16.9 | Eq: INVALID
Gen  870 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.4 | Eq: INVALID
Gen  880 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  16.6 | Eq: INVALID
Gen  890 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.0 | Eq: INVALID
Gen  900 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.5 | Eq: INVALID
Gen  910 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.6 | Eq: INVALID
Gen  920 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.9 | Eq: INVALID
Gen  930 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  15.1 | Eq: INVALID
Gen  940 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.4 | Eq: INVALID
Gen  950 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.7 | Eq: INVALID
Gen  960 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  14.8 | Eq: INVALID
Gen  970 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.4 | Eq: INVALID
Gen  980 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  21.4 | Eq: INVALID
Gen  990 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.7 | Eq: INVALID
Gen 1000 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.0 | Eq: INVALID
Gen 1010 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.2 | Eq: INVALID
Gen 1020 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.3 | Eq: INVALID
Gen 1030 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.9 | Eq: INVALID
Gen 1040 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.8 | Eq: INVALID
Gen 1050 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.1 | Eq: INVALID
Gen 1060 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.5 | Eq: INVALID
Gen 1070 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.9 | Eq: INVALID
Gen 1080 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.8 | Eq: INVALID
Gen 1090 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.1 | Eq: INVALID
Gen 1100 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.7 | Eq: INVALID
Gen 1110 | Mean Fit:  -949.56 | Max Fit:    -5.85 | Flips:  1 | Thresh:  20.1 | Eq: (X * (sin((sin(sin(X)) * sin(4))) * (sin(sin(4)) * X)))
Gen 1120 | Mean Fit:  -773.94 | Max Fit:    -1.36 | Flips:  0 | Thresh:  46.4 | Eq: INVALID
Gen 1130 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  33.7 | Eq: INVALID
Gen 1140 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  20.2 | Eq: INVALID
Gen 1150 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.8 | Eq: INVALID
Gen 1160 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.1 | Eq: INVALID
Gen 1170 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.7 | Eq: INVALID
Gen 1180 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.7 | Eq: INVALID
