corruption_distance,initial_MSE,minimum_MSE_ever,generation_of_minimum,final_MSE,exact_hit_ever,first_exact_hit_gen,number_of_exact_hits,exact_retained,maximum_delta_J
1,1000000000.00000,178.61801,3,1000000000.00000,False,-1,0,False,999999821.38199
1,1000000000.00000,147.95628,146,226.57603,False,-1,0,False,999999852.04372
1,1000000000.00000,114.60944,228,1000000000.00000,False,-1,0,False,999999885.39056
1,1000000000.00000,87.25459,2,237.67636,False,-1,0,False,999999912.74541
1,1000000000.00000,138.25040,3,1000000000.00000,False,-1,0,False,999999861.74960
1,1954.62122,0.03500,1,1000000000.00000,True,1,1,False,1954.58622
1,1000000000.00000,0.03500,0,1000000000.00000,True,0,2,False,999999999.96500
1,1000000000.00000,0.03500,0,1000000000.00000,True,0,4,False,999999999.96500
1,1000000000.00000,208.22337,116,1000000000.00000,False,-1,0,False,999999791.77663
1,1000000000.00000,124.51730,1,1000000000.00000,False,-1,0,False,999999875.48270
1,1000000000.00000,0.03500,1,1000000000.00000,True,1,2,False,999999999.96500
1,1000000000.00000,165.41910,21,237.67636,False,-1,0,False,999999834.58090
1,124.51730,121.57458,0,1000000000.00000,False,-1,0,False,2.94272
1,1000000000.00000,180.97098,143,1000000000.00000,False,-1,0,False,999999819.02902
1,301.54605,124.51730,0,232.02910,False,-1,0,False,177.02876
1,1000000000.00000,54.64013,1,1000000000.00000,False,-1,0,False,999999945.35987
1,1000000000.00000,186.43123,191,1000000000.00000,False,-1,0,False,999999813.56877
1,84.70797,0.03500,0,1000000000.00000,True,0,1,False,84.67297
1,1000000000.00000,52.73774,14,1000000000.00000,False,-1,0,False,999999947.26226
1,1000000000.00000,126.32809,130,1000000000.00000,False,-1,0,False,999999873.67191
1,1000000000.00000,147.49138,91,1000000000.00000,False,-1,0,False,999999852.50862
1,178.61301,92.51877,1,1000000000.00000,False,-1,0,False,86.09424
1,1000000000.00000,160.42198,12,1000000000.00000,False,-1,0,False,999999839.57802
1,167.00528,0.03500,1,1000000000.00000,True,1,1,False,166.97028
1,1000000000.00000,0.04000,2,236.19962,True,2,1,False,999999999.96000
1,1000000000.00000,178.62302,20,1000000000.00000,False,-1,0,False,999999821.37698
1,1000000000.00000,253.77786,68,1000000000.00000,False,-1,0,False,999999746.22214
1,1000000000.00000,150.27626,1,1000000000.00000,False,-1,0,False,999999849.72374
1,102.48744,54.65030,23,1000000000.00000,False,-1,0,False,47.83714
1,204.76686,0.03500,1,1000000000.00000,True,1,1,False,204.73186
1,1000000000.00000,179.48335,168,1000000000.00000,False,-1,0,False,999999820.51665
1,252.13332,0.03500,1,1000000000.00000,True,1,1,False,252.09832
1,124.51730,92.51377,0,1000000000.00000,False,-1,0,False,32.00352
1,1000000000.00000,130.30234,6,1000000000.00000,False,-1,0,False,999999869.69766
1,209.39662,102.48744,0,1000000000.00000,False,-1,0,False,106.90918
1,196.17804,0.03500,0,1000000000.00000,True,0,1,False,196.14304
1,191.57933,0.04000,0,1000000000.00000,True,0,1,False,191.53933
1,54.64013,0.03500,4,1000000000.00000,True,4,1,False,54.60513
1,131.94560,131.94560,0,1000000000.00000,False,-1,0,False,0.00000
1,196.17804,150.27626,1,1000000000.00000,False,-1,0,False,45.90178
1,1000000000.00000,0.03500,1,1000000000.00000,True,1,1,False,999999999.96500
1,167.00528,0.03500,0,1000000000.00000,True,0,1,False,166.97028
1,1000000000.00000,0.03500,1,1000000000.00000,True,1,1,False,999999999.96500
1,1954.62122,0.03500,0,1000000000.00000,True,0,3,False,1954.58622
1,84.70797,0.03500,0,1000000000.00000,True,0,3,False,84.67297
1,178.61301,121.57458,1,1000000000.00000,False,-1,0,False,57.03843
1,178.61301,120.48195,69,232.07341,False,-1,0,False,58.13106
1,214.00467,54.64013,0,1000000000.00000,False,-1,0,False,159.36454
1,1000000000.00000,0.03500,1,1000000000.00000,True,1,1,False,999999999.96500
1,240.61874,0.03500,6,1000000000.00000,True,6,1,False,240.58374
1,915.05444,75.32417,6,1000000000.00000,False,-1,0,False,839.73027
1,155.66695,0.04000,3,1000000000.00000,True,3,1,False,155.62695
1,1000000000.00000,79.02363,2,1000000000.00000,False,-1,0,False,999999920.97637
