Domain,Noise,Seed,EvolvedEquation,FinalMSE
3.14159,0.1,1,(X[t-2] - ((log(X[t-1]) * X[t-1]) - X[t-1])),0.3276
3.14159,0.1,2,(X[t-2] - (X[t-1] - X[t-1])),0.6492
3.14159,0.1,3,(X[t-2] - abs(0.1)),0.6436
3.14159,0.1,4,(X[t-1] - ((log(X[t-1]) * X[t-1]) - X[t-2])),0.3233
3.14159,0.25,0,X[t-2],0.6169
3.14159,0.25,1,X[t-2],0.5916
3.14159,0.25,2,"((((X[t-2] * 1.0) - 0.5) + X[t-1]) - avg(X[t-1], -1.0))",0.6472
3.14159,0.25,3,X[t-2],0.6116
3.14159,0.25,4,(X[t-1] - ((X[t-1] * log(X[t-1])) - X[t-2])),0.3711
3.14159,0.5,0,((sin(X[t-1]) + X[t-1]) - ((X[t-4] - (X[t-2] - X[t-1])) - X[t-4])),0.5747
3.14159,0.5,1,((X[t-1] * 0.1) + X[t-2]),0.7104
3.14159,0.5,2,X[t-2],0.7658
3.14159,0.5,3,(X[t-2] + (X[t-1] / abs(X[t-1]))),0.6381
3.14159,0.5,4,(X[t-2] - 0.1),0.8170
5.0,0.0,0,X[t-2],0.5744
5.0,0.0,1,(X[t-2] - (sin(X[t-1]) / -1.0)),0.1550
5.0,0.0,2,(1.0 * X[t-2]),0.6054
5.0,0.0,3,"avg(X[t-2], X[t-2])",0.6148
5.0,0.0,4,X[t-2],0.5607
5.0,0.01,0,"avg(X[t-2], X[t-2])",0.6216
5.0,0.01,1,(((X[t-2] * X[t-1]) / X[t-1]) - sin((sin(0.1) - X[t-1]))),0.2897
5.0,0.01,2,(X[t-2] - 0.1),0.5988
5.0,0.01,3,(X[t-2] + (X[t-1] / exp(abs(X[t-1])))),0.5662
5.0,0.01,4,(((X[t-1] - X[t-1]) - X[t-2]) * -1.0),0.7248
5.0,0.05,0,(((X[t-1] - X[t-1]) - X[t-2]) * -1.0),0.7284
5.0,0.05,1,((X[t-2] + X[t-1]) - X[t-1]),0.6836
5.0,0.05,2,"avg(X[t-2], X[t-2])",0.6450
5.0,0.05,3,"(avg(0.5, sin(X[t-1])) - ((X[t-1] - X[t-1]) - X[t-2]))",0.4728
5.0,0.05,4,"(X[t-2] + sin(avg(X[t-1], X[t-1])))",0.1775
5.0,0.1,0,(X[t-2] / 1.0),0.5888
5.0,0.1,1,X[t-2],0.5721
5.0,0.1,2,(X[t-2] * (X[t-1] / X[t-1])),0.6922
5.0,0.1,3,(X[t-1] / (X[t-1] / X[t-2])),0.6765
5.0,0.1,4,((X[t-1] - X[t-1]) + X[t-2]),0.6705
5.0,0.25,0,X[t-2],0.6278
5.0,0.25,1,X[t-2],0.6700
5.0,0.25,2,(X[t-2] / 1.0),0.6756
5.0,0.25,3,X[t-2],0.6129
5.0,0.25,4,X[t-2],0.6177
5.0,0.5,0,(sin(X[t-1]) - (X[t-2] * -1.0)),0.4195
5.0,0.5,1,(X[t-5] - (X[t-5] - X[t-2])),0.8971
5.0,0.5,2,"avg(X[t-2], X[t-2])",0.8293
5.0,0.5,3,(X[t-2] * (X[t-1] / X[t-1])),0.9233
5.0,0.5,4,(X[t-2] - (log(0.5) - sin(X[t-1]))),0.8670
